Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,long,shortest,lighter,FEMALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,long,shortest,lighter,MALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,shortest,longer,short,light,FEMALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,long,shorter,light,MALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,shortest,light,MALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,shortest,long,shorter,light,FEMALE,class3,class4
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,shorter,lighter,MALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,medium,shorter,lightest,FEMALE,class1,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,long,shortest,lightest,FEMALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,shortest,light,MALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,short,shortest,lighter,FEMALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,shortest,light,MALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,shorter,lighter,FEMALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,shorter,light,MALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,short,lighter,FEMALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,longest,short,light,MALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,longer,short,light,MALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,shortest,lighter,FEMALE,class1,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,longer,shorter,lighter,FEMALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,shorter,medium,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,shorter,lightest,FEMALE,class4,class4
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,long,shorter,lightest,FEMALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Dream,medium,longer,short,medium,MALE,class3,class4
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,shorter,lightest,FEMALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,short,medium,MALE,class4,class4
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,shorter,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,shortest,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,medium,short,lighter,FEMALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Dream,short,longest,short,light,MALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,shorter,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,shorter,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shortest,medium,short,lighter,FEMALE,class1,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,longer,medium,light,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shortest,long,shorter,lightest,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,short,lighter,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,shorter,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,short,light,MALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,short,shorter,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,long,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shortest,medium,shorter,lightest,FEMALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,longest,short,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,shorter,lighter,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,short,light,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,shorter,lightest,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shortest,short,short,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,shorter,light,MALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,short,short,lightest,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,longer,medium,medium,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,long,short,lighter,FEMALE,class1,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,long,short,light,MALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,short,lighter,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,medium,long,short,light,MALE,class1,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,medium,short,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,long,short,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,medium,short,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,longer,shorter,light,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,short,shorter,lighter,FEMALE,class1,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,long,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,medium,short,lightest,FEMALE,class1,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,medium,short,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,long,shorter,light,FEMALE,class1,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,longer,short,light,MALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,short,lighter,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Dream,short,longest,short,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,longer,short,light,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,short,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,longer,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,short,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,long,medium,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,medium,medium,MALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,medium,shorter,lighter,FEMALE,class1,class1
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,shorter,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,shorter,lighter,FEMALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,long,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,short,lighter,FEMALE,class1,class1
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,short,medium,MALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,short,shortest,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shortest,medium,short,lighter,FEMALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,longer,medium,medium,MALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,short,shorter,lightest,FEMALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,longer,short,medium,MALE,class4,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,long,short,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,long,shorter,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,medium,light,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,longer,short,light,MALE,class4,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,shorter,lightest,FEMALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,short,heavy,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,short,medium,light,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,medium,longest,short,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,medium,short,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,longer,short,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,shorter,longest,short,light,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Biscoe,short,long,short,light,MALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,shorter,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,longest,medium,light,MALE,class4,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,medium,short,lighter,FEMALE,class3,class4
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,long,short,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,shorter,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,longer,medium,lighter,MALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,medium,shortest,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,long,medium,light,MALE,class4,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,short,shorter,lightest,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,long,medium,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,short,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,long,short,medium,MALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,short,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,medium,long,long,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,short,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,longer,short,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,short,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,medium,medium,MALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,shorter,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,short,medium,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,medium,short,lightest,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,short,longer,medium,light,MALE,class3,class1
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,short,shorter,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,short,medium,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,short,medium,short,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,short,medium,shorter,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,shorter,shorter,lightest,FEMALE,class2,class1
Adelie Penguin (Pygoscelis adeliae),Dream,short,medium,short,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,medium,short,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,shorter,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,short,medium,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,shorter,lighter,FEMALE,class2,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,medium,short,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shorter,long,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,shortest,medium,shorter,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Dream,short,long,medium,light,MALE,class3,class2
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,short,light,MALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,short,lighter,MALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,long,shorter,lighter,FEMALE,class2,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,longer,short,lighter,MALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,medium,light,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,long,shortest,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,short,light,MALE,class2,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,long,short,light,FEMALE,class2,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,medium,lighter,MALE,class2,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,light,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longest,short,light,MALE,class2,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,shorter,lighter,FEMALE,class2,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,long,medium,light,MALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,lighter,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,medium,light,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,short,lighter,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,longest,medium,shorter,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,long,short,lighter,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,short,medium,MALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,short,medium,shorter,lighter,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,medium,short,lighter,MALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,short,short,shorter,lightest,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,short,light,MALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,lighter,FEMALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,long,short,light,MALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,medium,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,medium,light,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,longer,medium,medium,MALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,short,short,shorter,lightest,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,longest,medium,medium,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,short,short,shorter,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,medium,light,MALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,short,lighter,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,medium,light,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,long,short,light,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,longest,long,heavy,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,short,short,lightest,FEMALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,longer,medium,medium,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,long,light,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,shorter,lighter,FEMALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,short,lighter,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,lighter,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,medium,short,lighter,FEMALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,medium,medium,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,medium,short,lighter,FEMALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,long,medium,MALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,shorter,lighter,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,medium,medium,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,short,medium,lighter,FEMALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,medium,light,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,lighter,FEMALE,class3,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,medium,light,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,short,medium,shorter,lighter,FEMALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,long,short,lighter,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,short,short,lighter,FEMALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,longer,medium,light,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,medium,light,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,longer,short,lighter,FEMALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,longer,longer,long,light,MALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,short,short,lighter,FEMALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,medium,medium,short,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,longest,longer,long,light,MALE,class4,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,short,long,medium,lighter,FEMALE,class3,class4
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,short,light,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,long,light,MALE,class4,class3
Chinstrap penguin (Pygoscelis antarctica),Dream,long,long,medium,light,FEMALE,class3,class4
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavier,MALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,long,shortest,long,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heavier,MALE,class2,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavier,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,heavy,FEMALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,medium,FEMALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,MALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,medium,FEMALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heavier,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,long,heaviest,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,light,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heaviest,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,light,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heaviest,MALE,class2,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,heavy,FEMALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heavier,MALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heavier,MALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,medium,FEMALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,longer,heavy,MALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,longer,heavy,FEMALE,class1,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,light,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavier,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,long,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heavier,MALE,class2,class3
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,MALE,class2,class2
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,medium,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,heavy,FEMALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,longest,medium,longest,heaviest,MALE,class1,class2
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,heavy,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heavier,MALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,heavy,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,longer,heavy,MALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavier,MALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,light,FEMALE,class1,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longer,medium,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longer,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,longer,heavy,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,light,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,heavy,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,longer,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,heavy,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shortest,longer,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longest,heavy,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shortest,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavy,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,short,shorter,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,long,shorter,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,light,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shorter,longer,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,long,medium,FEMALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,longer,short,longest,heavier,MALE,class2,class1
Gentoo penguin (Pygoscelis papua),Biscoe,medium,shortest,longer,medium,FEMALE,class2,class1
